behavior_a,behavior_b,pair_family,pearson,spearman,correlation_distance
Question_and_Answering,Perspective_Shift,within_dialectical,0.005348799520074333,0.08742039467311155,0.9946512004799256
Question_and_Answering,Conflict_of_Perspectives,within_dialectical,-0.046697100821662146,0.0656229939836949,1.0466971008216621
Question_and_Answering,Reconciliation,within_dialectical,0.16310615814660098,0.306297223710445,0.836893841853399
Question_and_Answering,verification,cross_family,0.36002101794880825,0.40194937826489574,0.6399789820511917
Question_and_Answering,backtracking,cross_family,-0.11614613049491959,-0.0806365463008661,1.1161461304949196
Question_and_Answering,subgoal,cross_family,-0.1909062132845452,-0.2783712230307769,1.1909062132845452
Question_and_Answering,backward_chaining,cross_family,-0.0356837562377846,0.031314332102093834,1.0356837562377845
Perspective_Shift,Conflict_of_Perspectives,within_dialectical,0.6399861055294402,0.6357631274894503,0.36001389447055976
Perspective_Shift,Reconciliation,within_dialectical,0.2123995830032468,0.26569763981063205,0.7876004169967532
Perspective_Shift,verification,cross_family,-0.2074760347242941,-0.17954822398361175,1.207476034724294
Perspective_Shift,backtracking,cross_family,0.45849284679185637,0.37310447682982356,0.5415071532081437
Perspective_Shift,subgoal,cross_family,0.1752708386606227,0.16755203311884528,0.8247291613393772
Perspective_Shift,backward_chaining,cross_family,-0.17203446859022734,-0.18363741776420375,1.1720344685902273
Conflict_of_Perspectives,Reconciliation,within_dialectical,0.28782444731809576,0.35410453378638734,0.7121755526819042
Conflict_of_Perspectives,verification,cross_family,0.004677748667485863,-0.029462416929367036,0.9953222513325142
Conflict_of_Perspectives,backtracking,cross_family,0.7119264796708652,0.7278636202055436,0.2880735203291348
Conflict_of_Perspectives,subgoal,cross_family,-0.18323741427243848,-0.141612677572609,1.1832374142724384
Conflict_of_Perspectives,backward_chaining,cross_family,0.03928500993042239,0.04882006033179319,0.9607149900695776
Reconciliation,verification,cross_family,0.19688674018098332,0.3749912308710104,0.8031132598190167
Reconciliation,backtracking,cross_family,0.07160512101338133,0.2563598021367545,0.9283948789866187
Reconciliation,subgoal,cross_family,-0.1528608463344981,-0.26603631355715623,1.152860846334498
Reconciliation,backward_chaining,cross_family,0.007724061601605213,0.10079119124017417,0.9922759383983948
verification,backtracking,within_executive,0.018263645737101288,0.06576946359105858,0.9817363542628987
verification,subgoal,within_executive,-0.47825914074983683,-0.5256764565688667,1.4782591407498369
verification,backward_chaining,within_executive,0.20415569371061232,0.34747755319533147,0.7958443062893876
backtracking,subgoal,within_executive,-0.18084830192013798,-0.14445605736825362,1.180848301920138
backtracking,backward_chaining,within_executive,-0.043224881911237405,0.0527214762529704,1.0432248819112373
subgoal,backward_chaining,within_executive,-0.2517206873410972,-0.3758246131258144,1.251720687341097
