split,prefix,feature_set,feature,coef
prompt_disjoint,0.1,metadata,gen_model=gemma4_31b,0.40375872879757163
prompt_disjoint,0.1,metadata,gen_model=qwen35_27b,0.37217292208723074
prompt_disjoint,0.1,metadata,task_type=safety,0.30808429507618296
prompt_disjoint,0.1,metadata,gen_model=qwen35_9b,0.28683183048033306
prompt_disjoint,0.1,metadata,gen_model=qwen35_4b,0.28458087045743763
prompt_disjoint,0.1,metadata,task_type=math,-0.25754975934403357
prompt_disjoint,0.1,metadata,difficulty_raw=Sexual content,0.23754904244412836
prompt_disjoint,0.1,metadata,difficulty_raw=hard,-0.22632921176607682
prompt_disjoint,0.1,metadata,task_type=moral,-0.22397288451796057
prompt_disjoint,0.1,metadata,gen_model=gemma4_e4b,0.2010353658686583
prompt_disjoint,0.1,metadata,difficulty_raw=applicable_actions_mc,0.200208197361989
prompt_disjoint,0.1,metadata,difficulty_raw=progression_mcq,0.18383185149873338
prompt_disjoint,0.1,metadata,task_type=planning,0.18276312624608032
prompt_disjoint,0.1,metadata,difficulty_raw=validation_mcq,-0.15583797235968236
prompt_disjoint,0.1,metadata,difficulty_raw=easy,0.13985644289261415
prompt_disjoint,0.1,metadata,difficulty_raw=Non-violent crimes,0.12967167261526027
prompt_disjoint,0.1,metadata,difficulty_raw=landmarks_mcq,0.12315478081538216
prompt_disjoint,0.1,metadata,task_type=idea,0.11058321063891427
prompt_disjoint,0.1,metadata,difficulty_raw=Illegal goods and services,0.10852421019084567
prompt_disjoint,0.1,metadata,"difficulty_raw=Hate, harassment and discrimination",0.10532347290375943
prompt_disjoint,0.1,length,gen_model=gemma4_31b,0.4046969104697109
prompt_disjoint,0.1,length,gen_model=qwen35_27b,0.37748318413792487
prompt_disjoint,0.1,length,task_type=safety,0.3071718094311166
prompt_disjoint,0.1,length,gen_model=qwen35_9b,0.2926213605697575
prompt_disjoint,0.1,length,gen_model=qwen35_4b,0.2900531587194332
prompt_disjoint,0.1,length,task_type=math,-0.25920201606330556
prompt_disjoint,0.1,length,difficulty_raw=Sexual content,0.2372235954101125
prompt_disjoint,0.1,length,task_type=moral,-0.22539385881379723
prompt_disjoint,0.1,length,difficulty_raw=hard,-0.2234695242222936
prompt_disjoint,0.1,length,gen_model=gemma4_e4b,0.20155079934565007
prompt_disjoint,0.1,length,difficulty_raw=applicable_actions_mc,0.20011125390214166
prompt_disjoint,0.1,length,task_type=planning,0.1834438575942104
prompt_disjoint,0.1,length,difficulty_raw=progression_mcq,0.18332407257487635
prompt_disjoint,0.1,length,difficulty_raw=validation_mcq,-0.1549832003950692
prompt_disjoint,0.1,length,difficulty_raw=easy,0.13975875952886832
prompt_disjoint,0.1,length,difficulty_raw=Non-violent crimes,0.12923859818134653
prompt_disjoint,0.1,length,difficulty_raw=landmarks_mcq,0.12371724315262242
prompt_disjoint,0.1,length,task_type=idea,0.11030960456639738
prompt_disjoint,0.1,length,difficulty_raw=Illegal goods and services,0.10819609101081593
prompt_disjoint,0.1,length,gen_model=reasoner,0.10525916546498933
prompt_disjoint,0.1,counts,gen_model=gemma4_31b,0.42492560414777597
prompt_disjoint,0.1,counts,gen_model=qwen35_27b,0.41320405893380846
prompt_disjoint,0.1,counts,gen_model=qwen35_9b,0.32936112643006876
prompt_disjoint,0.1,counts,gen_model=qwen35_4b,0.32307528491509313
prompt_disjoint,0.1,counts,task_type=safety,0.30745116666607586
prompt_disjoint,0.1,counts,task_type=math,-0.2806421136112984
prompt_disjoint,0.1,counts,task_type=moral,-0.23753731869333172
prompt_disjoint,0.1,counts,difficulty_raw=Sexual content,0.2354294777356909
prompt_disjoint,0.1,counts,difficulty_raw=hard,-0.22241470263666752
prompt_disjoint,0.1,counts,difficulty_raw=applicable_actions_mc,0.20169032611128976
prompt_disjoint,0.1,counts,gen_model=gemma4_e4b,0.19090512806340038
prompt_disjoint,0.1,counts,task_type=planning,0.17983603363715836
prompt_disjoint,0.1,counts,difficulty_raw=progression_mcq,0.17844627887315004
prompt_disjoint,0.1,counts,difficulty_raw=validation_mcq,-0.15916028847747457
prompt_disjoint,0.1,counts,task_type=idea,0.14651893426747573
prompt_disjoint,0.1,counts,difficulty_raw=easy,0.1390037966065619
prompt_disjoint,0.1,counts,gen_model=reasoner,0.13425761455512877
prompt_disjoint,0.1,counts,difficulty_raw=Non-violent crimes,0.1269488404114336
prompt_disjoint,0.1,counts,difficulty_raw=landmarks_mcq,0.12170345356028316
prompt_disjoint,0.1,counts,difficulty_raw=Illegal goods and services,0.10864992476415904
prompt_disjoint,0.1,temporal,gen_model=qwen35_27b,0.5004867509996788
prompt_disjoint,0.1,temporal,gen_model=gemma4_31b,0.45145593257941474
prompt_disjoint,0.1,temporal,gen_model=qwen35_9b,0.4122306596522968
prompt_disjoint,0.1,temporal,gen_model=qwen35_4b,0.39461852034380296
prompt_disjoint,0.1,temporal,task_type=safety,0.3129637055770551
prompt_disjoint,0.1,temporal,task_type=math,-0.3036670133272225
prompt_disjoint,0.1,temporal,rate_subgoal,0.2951973546919447
prompt_disjoint,0.1,temporal,gen_model=gemma4_e4b,0.2869824162111074
prompt_disjoint,0.1,temporal,bin0_subgoal,-0.2785995123055334
prompt_disjoint,0.1,temporal,rate_backtracking,-0.25793455505484064
prompt_disjoint,0.1,temporal,task_type=moral,-0.24903884490019004
prompt_disjoint,0.1,temporal,difficulty_raw=Sexual content,0.23306167356687962
prompt_disjoint,0.1,temporal,difficulty_raw=hard,-0.22459809265279493
prompt_disjoint,0.1,temporal,rate_Perspective_Shift,0.22323408576123124
prompt_disjoint,0.1,temporal,difficulty_raw=applicable_actions_mc,0.2007495200107873
prompt_disjoint,0.1,temporal,difficulty_raw=progression_mcq,0.18241265235576204
prompt_disjoint,0.1,temporal,task_type=planning,0.18228053605564357
prompt_disjoint,0.1,temporal,task_type=idea,0.1797462136413261
prompt_disjoint,0.1,temporal,gen_model=reasoner,0.17186828836666643
prompt_disjoint,0.1,temporal,difficulty_raw=validation_mcq,-0.1654945207542477
prompt_disjoint,0.1,time_shuffled,gen_model=gemma4_31b,0.42493060848108777
prompt_disjoint,0.1,time_shuffled,gen_model=qwen35_27b,0.41321034798122236
prompt_disjoint,0.1,time_shuffled,gen_model=qwen35_9b,0.3293676057885101
prompt_disjoint,0.1,time_shuffled,gen_model=qwen35_4b,0.3230808926842671
prompt_disjoint,0.1,time_shuffled,task_type=safety,0.3074524760767201
prompt_disjoint,0.1,time_shuffled,task_type=math,-0.2806466351886262
prompt_disjoint,0.1,time_shuffled,task_type=moral,-0.23753842543902204
prompt_disjoint,0.1,time_shuffled,difficulty_raw=Sexual content,0.23542937267641545
prompt_disjoint,0.1,time_shuffled,difficulty_raw=hard,-0.22241450849551292
prompt_disjoint,0.1,time_shuffled,difficulty_raw=applicable_actions_mc,0.2016902240925049
prompt_disjoint,0.1,time_shuffled,gen_model=gemma4_e4b,0.19090347069022182
prompt_disjoint,0.1,time_shuffled,task_type=planning,0.17983434322530142
prompt_disjoint,0.1,time_shuffled,difficulty_raw=progression_mcq,0.17844544449270403
prompt_disjoint,0.1,time_shuffled,difficulty_raw=validation_mcq,-0.1591635389814996
prompt_disjoint,0.1,time_shuffled,task_type=idea,0.14652591704000775
prompt_disjoint,0.1,time_shuffled,difficulty_raw=easy,0.1390037053123754
prompt_disjoint,0.1,time_shuffled,gen_model=reasoner,0.13426387169650889
prompt_disjoint,0.1,time_shuffled,difficulty_raw=Non-violent crimes,0.1269487090451765
prompt_disjoint,0.1,time_shuffled,difficulty_raw=landmarks_mcq,0.12170334258994248
prompt_disjoint,0.1,time_shuffled,difficulty_raw=Illegal goods and services,0.10865038165348498
random_trace,0.1,metadata,gen_model=gemma4_31b,0.40375872879757163
random_trace,0.1,metadata,gen_model=qwen35_27b,0.37217292208723074
random_trace,0.1,metadata,task_type=safety,0.30808429507618296
random_trace,0.1,metadata,gen_model=qwen35_9b,0.28683183048033306
random_trace,0.1,metadata,gen_model=qwen35_4b,0.28458087045743763
random_trace,0.1,metadata,task_type=math,-0.25754975934403357
random_trace,0.1,metadata,difficulty_raw=Sexual content,0.23754904244412836
random_trace,0.1,metadata,difficulty_raw=hard,-0.22632921176607682
random_trace,0.1,metadata,task_type=moral,-0.22397288451796057
random_trace,0.1,metadata,gen_model=gemma4_e4b,0.2010353658686583
random_trace,0.1,metadata,difficulty_raw=applicable_actions_mc,0.200208197361989
random_trace,0.1,metadata,difficulty_raw=progression_mcq,0.18383185149873338
random_trace,0.1,metadata,task_type=planning,0.18276312624608032
random_trace,0.1,metadata,difficulty_raw=validation_mcq,-0.15583797235968236
random_trace,0.1,metadata,difficulty_raw=easy,0.13985644289261415
random_trace,0.1,metadata,difficulty_raw=Non-violent crimes,0.12967167261526027
random_trace,0.1,metadata,difficulty_raw=landmarks_mcq,0.12315478081538216
random_trace,0.1,metadata,task_type=idea,0.11058321063891427
random_trace,0.1,metadata,difficulty_raw=Illegal goods and services,0.10852421019084567
random_trace,0.1,metadata,"difficulty_raw=Hate, harassment and discrimination",0.10532347290375943
random_trace,0.1,length,gen_model=gemma4_31b,0.4046969104697109
random_trace,0.1,length,gen_model=qwen35_27b,0.37748318413792487
random_trace,0.1,length,task_type=safety,0.3071718094311166
random_trace,0.1,length,gen_model=qwen35_9b,0.2926213605697575
random_trace,0.1,length,gen_model=qwen35_4b,0.2900531587194332
random_trace,0.1,length,task_type=math,-0.25920201606330556
random_trace,0.1,length,difficulty_raw=Sexual content,0.2372235954101125
random_trace,0.1,length,task_type=moral,-0.22539385881379723
random_trace,0.1,length,difficulty_raw=hard,-0.2234695242222936
random_trace,0.1,length,gen_model=gemma4_e4b,0.20155079934565007
random_trace,0.1,length,difficulty_raw=applicable_actions_mc,0.20011125390214166
random_trace,0.1,length,task_type=planning,0.1834438575942104
random_trace,0.1,length,difficulty_raw=progression_mcq,0.18332407257487635
random_trace,0.1,length,difficulty_raw=validation_mcq,-0.1549832003950692
